Unnamed: 0,Name,Profile,Followers,Country,Topic of Influence,JSON Downloaded,All posts downloaded,TotalPosts,Completed,Unnamed: 10,Unnamed: 11,Unnamed: 12,JSON STATUS OLD
1097,Valentina Zenere,@valentinazenere,11.7M,Brazil,"Actors, Modeling, Lifestyle",1,,,,,,,0.0
1098,Cabronazi,@cabronazi,11.7M,,"Entertainment and Music, Funny, Automotive",1,,,,,,,0.0
1099,Zarithebosslady,@zarithebosslady,11.6M,Uganda,"Finance, Modeling, Entertainment, Business",1,,,,,,,0.0
1100,Sandrinnaskornicki,@sandrinna_11,11.6M,,"Beauty, Music, Actors, Modeling",1,,,,,,,0.0
1101,Tyler Blackburn,@tylerjblackburn,11.6M,Mexico,"Music, Lifestyle, Singer, Actors",1,,,,,,,0.0
1102,Terry Crews,@terrycrews,11.6M,United States,"Entertainment and Music, Actors",1,,,,,,,0.0
1103,McLaren,@mclaren,11.6M,,Auto and Vehicles,1,,,,,,,0.0
1104,Steve Aoki,@steveaoki,11.6M,,Art,1,,,,,,,0.0
1105,MUN KA YOUNG,@m_kayoung,11.6M,South Korea,Actors,1,,,,,,,0.0
1106,Equipe de France de Football,@equipedefrance,11.6M,France,Sports,1,,,,,,,0.0
1107,Siddharth Nigam,@thesiddharthnigam,11.6M,India,"Entertainment and Music, Sports, Celebrity",1,,,,,,,0.0
1108,Michelle Obama (archived),@michelleobama44,11.6M,United States,"Music, Modeling",1,,,,,,,0.0
1109,IRENE,@renebaebae,11.5M,,,1,,,,,,,0.0
1110,دكتورة خلود💙💉🥇,@dr_kholodiii,11.5M,Kuwait,"Beauty and Self Care, Animals & Pets, Design, Celebrities",1,,,,,,,0.0
1111,Melissa McCarthy,@melissamccarthy,11.5M,United States,"Art, Modeling, Actors, Humor",1,,,,,,,0.0
1112,Armand Peri,@lifeperiway,11.5M,United States,"Arts and Crafts, Fitness and Health, Business and Finance, Soccer",1,,,,,,,0.0
1113,Adnaan Shaikh,@adnaan_07dz,11.5M,India,"Fitness and Health, Modeling, Film, Music & Books, Celebrities",1,,,,,,,0.0
1114,5 Seconds of Summer,@5sos,11.5M,Australia,Entertainment and Music,1,,,,,,,0.0
1115,Fred Bruno,@fred,11.5M,,Entertainment and Music,1,,,,,,,0.0
1116,Zoe Saldaña,@zoesaldana,11.5M,United States,"Entertainment and Music, Modeling, Actors, Celebrities",1,,,,,,,0.0
1117,FaZe Clan,@fazeclan,11.5M,,Video Gaming,1,,,,,,,0.0
1118,Viking Barbie⚔,@viking.barbie,11.5M,United States,Entertainment and Music,1,,,,,,,0.0
1119,REZENDE 👊 #ADR,@rezende,11.5M,,"Entertainment and Music, Games, Video Blogger",1,,,,,,,0.0
1120,EBI,@ebi,11.5M,United States,"Education, Romance and Wedding, Soccer, Music",1,,,,,,,0.0
1121,Kerem Bürsin,@thebursin,11.5M,Turkey,"Celebrity, Art",1,,,,,,,0.0
1122,Vadym Mashurov,@vadimmashurov,11.5M,,,1,,,,,,,0.0
1123,Julia Barretto,@juliabarretto,11.4M,Philippines,"Fashion and Accessories, Celebrity",1,,,,,,,0.0
1124,"Deddy Corbuzier, Ph.D",@mastercorbuzier,11.4M,Indonesia,"Entertainment and Music, Celebrity, Mixed martial arts",1,,,,,,,0.0
1125,Jada Pinkett Smith,@jadapinkettsmith,11.4M,United States,"Entertainment and Music, Parenting, Actors, Artist",1,,,,,,,0.0
1126,Laura Prepon,@lauraprepon,11.4M,United States,Actors,1,,,,,,,0.0
1127,Murat Boz,@muratboz,11.4M,Turkey,Entertainment and Music,1,,,,,,,0.0
1128,Himanshi Khurana 👑,@iamhimanshikhurana,11.4M,,"Entertainment and Music, Celebrity, Music",1,,,,,,,0.0
1129,Heidi Klum,@heidiklum,11.4M,Germany,Fashion and Accessories,1,,,,,,,0.0
1130,Raghav Juyal,@raghavjuyal,11.4M,India,"Entertainment and Music, Home and Garden, Music, Modeling",1,,,,,,,0.0
1131,Nicocapone,@nicocapone.comedy,11.4M,,"family, Entertainment and Music, Funny",1,,,,,,,0.0
1132,🇨🇱 Ｃｌａｕｄｉｏ Ｂｒａｖｏ,@claudiobravo1,11.4M,Chile,"Actors, Modeling",1,,,,,,,0.0
1133,bea alonzo,@beaalonzo,11.4M,,"Entertainment and Music, Fashion and Accessories, Moms",1,,,,,,,0.0
1134,MERCY AIGBE ADEOTI,@realmercyaigbe,11.4M,Nigeria,"Acting and Drama, Fashion and Accessories, Beauty and Self Care, Entertainment and Music",1,,,,,,,0.0
1135,Santa Fe Klan,@santa_fe_klan_473,11.4M,Mexico,"Entertainment and Music, Music",1,,,,,,,0.0
1136,Araya Alberta Hargate,@chomismaterialgirl,11.4M,Thailand,"family, Actors, Lifestyle, Personal Blog",1,,,,,,,0.0
1137,anya geraldine,@anyageraldine,11.4M,Indonesia,"Product Showcase, Celebrity, Singer",1,,,,,,,0.0
1138,Lulú𓂀,@malutrevejo,11.4M,Cuba,"Entertainment and Music, Parenting",1,,,,,,,0.0
1139,Tom Hiddleston,@twhiddleston,11.4M,United Kingdom,"Acting and Drama, Actors",1,,,,,,,0.0
1140,Mark Zuckerberg,@zuck,11.4M,United States,"Founder, Business",1,,,,,,,0.0
1141,TAEYONG,@taeoxo_nct,11.4M,South Korea,"Entertainment and Music, Celebrity, Food and Drink",1,,,,,,,0.0
1142,India’s Youth & Fitness IC⭕️N,@sahilkhan,11.4M,India,"Fitness and Health, Product Education, Gym, Coaching",1,,,,,,,0.0
1143,Usher,@usher,11.4M,,"Entertainment and Music, Singer",1,,,,,,,0.0
1144,"Swae Lee, Lee Swae?",@swaelee,11.4M,United States,"Singer, Music, Entertainment",1,,,,,,,0.0
1145,RapTV,@rap,11.3M,,"Entertainment and Music, Parenting",1,,,,,,,0.0
1146,Ｍｉｃｈｅｌｌｅ Ｚｉｕｄｉｔｈ ｗ,@michelleziu,11.3M,Indonesia,"Arts and Crafts, Celebrity, Business, Product",1,,,,,,,0.0
1147,TEN_+•10,@tenlee_1001,11.3M,,Art,1,,,,,,,0.0
1148,Mercedes-AMG PETRONAS F1 Team,@mercedesamgf1,11.3M,United Kingdom,"Sports, Cars, Racing, Mercedes",1,,,,,,,0.0
1149,JoJo Siwa,@itsjojosiwa,11.3M,United States,"Entertainment and Music, Music, Singer, Dance",1,,,,,,,0.0
1150,Calvin Harris,@calvinharris,11.3M,United Kingdom,"Entertainment and Music, Music, Producers, Singer",1,,,,,,,0.0
1151,Tracee Ellis Ross,@traceeellisross,11.3M,United States,"Beauty and Self Care, Actors, Actor, Creators & Celebrities",1,,,,,,,0.0
1152,FLÁVIA ALESSANDRA,@flaviaalessandra,11.3M,Brazil,"Entertainment and Music, Celebrity",1,,,,,,,0.0
1153,Gürkan Topçu,@gurkansef,11.3M,Turkey,"Chef, Food",1,,,,,,,0.0
1154,Rebel Wilson,@rebelwilson,11.3M,Australia,"Acting and Drama, Modeling, Styling",1,,,,,,,0.0
1155,WAKE UP AND MAKEUP,@wakeupandmakeup,11.3M,,"Beauty and Self Care, Health/Beauty",1,,,,,,,0.0
1156,JARED LETO,@jaredleto,11.3M,United States,"Entertainment and Music, Music, Singer, Songwriting",1,,,,,,,0.0
1157,Mario Balotelli Barwuah 🇬🇭+🇮🇹=⚽️,@mb459,11.3M,Italy,"Soccer, Sports",1,,,,,,,0.0
1158,Fifth Harmony,@fifthharmony,11.3M,,"Singer, Music, Songwriting",1,,,,,,,0.0
1159,Gabriel Barbosa,@gabigol,11.3M,Brazil,"Sports, Soccer, Cars & Motorcycles, Film, Music & Books",1,,,,,,,0.0
1160,Dulce Maria,@dulcemaria,11.3M,Mexico,"Entertainment and Music, Actors",1,,,,,,,0.0
1161,KR KEVIN ROLDAN ♛,@kevinroldankr,11.3M,United States,"Entertainment and Music, Actors, Music, Film, Music & Books",1,,,,,,,0.0
1162,Kevin Gates,@iamkevingates,11.3M,United States,"Entertainment and Music, Singer, Humor, Film, Music & Books",1,,,,,,,0.0
1163,Lojain Omran,@lojain_omran,11.2M,United Arab Emirates,"Arts and Crafts, Entertainment and Music, Fashion and Accessories, TV Host",1,,,,,,,0.0
1164,João Félix,@joaofelix79,11.2M,Portugal,Sports,1,,,,,,,0.0
1165,Doğuş,@dogusofficial,11.2M,,"Animals, Pets",1,,,,,,,0.0
1166,Lizbeth Rodriguez,@lizbethrodriguezoficial,11.2M,,Entertainment and Music,1,,,,,,,0.0
1167,Gabriel Medina,@gabrielmedina,11.2M,Brazil,"Sports, Surfing",1,,,,,,,0.0
1168,Jensen Ackles,@jensenackles,11.2M,United States,"Entertainment and Music, Food, Actors",1,,,,,,,0.0
1169,Riva Arora,@rivarora_,11.2M,India,Celebrity,1,,,,,,,0.0
1170,Ross Shor Lynch,@ross_lynch,11.2M,France,"Art, Parenting, Music, Singer",1,,,,,,,0.0
1171,Savio Ricci,@savio.io,11.2M,United States,Celebrity,1,,,,,,,0.0
1172,Francia James,@francety,11.2M,Colombia,Arts and Crafts,1,,,,,,,0.0
1173,World Health Organization,@who,11.2M,,"Education, Moms",1,,,,,,,0.0
1174,Ingrid Ohara 🫦,@oharaingrid,11.1M,,"Entertainment and Music, Celebrity, Celebrities, Health & Fitness",1,,,,,,,0.0
1175,El Alfa El Jefe TE AMO DIOS,@elalfaeljefe,11.1M,Dominican Republic,"Actors, Music",1,,,,,,,0.0
1176,Z.TAO🔴黄子韬,@hztttao,11.1M,China,"Entertainment and Music, Business and Finance",1,,,,,,,0.0
1177,Rae Sremmurd,@raesremmurd,11.1M,United States,"Entertainment and Music, Music",1,,,,,,,0.0
1178,Nikita Mirzani,@nikitamirzanimawardi_172,11.1M,Indonesia,"Art, Beauty and Self Care",1,,,,,,,0.0
1179,TAEYANG,@__youngbae__,11.1M,,Singer,1,,,,,,,0.0
1180,Nah Cardoso,@nahcardoso,11.1M,Brazil,"Beauty and Self Care, Travel, Actors, Celebrities",1,,,,,,,0.0
1181,An Actress Lah Pokoknya,@cassandraslee,11.1M,Indonesia,"Beauty and Self Care, Product Education, Product Showcase, Celebrity",1,,,,,,,0.0
1182,Maria,@mariapedraza_,11.1M,,Actors,1,,,,,,,0.0
1183,Franco Escamilla,@francoescamillaoficial,11.1M,Mexico,"Entertainment and Music, Actors",1,,,,,,,0.0
1184,Mrs.Falak,@sarahkhanofficial,11.1M,Pakistan,"Entertainment and Music, Celebrity, Actors, Modeling",1,,,,,,,0.0
1185,SUHO,@kimjuncotton,11.1M,South Korea,"Travel, Music, Boutique",1,,,,,,,0.0
1186,Betrand Putra Onsu,@betrandpetoputraonsu,11.1M,Indonesia,"family, Music",1,,,,,,,0.0
1187,Gianluigi Buffon,@gianluigibuffon,11M,Italy,"Sports, Soccer",1,,,,,,,0.0
1188,Julia Roberts,@juliaroberts,11M,United States,Actors,1,,,,,,,0.0
1189,Pilar Rubio,@pilarrubio,11M,Spain,"Fashion and Accessories, family, Entertainment and Music, Actors",1,,,,,,,0.0
1190,Dina Elsherbiny,@dinaelsherbinyy,11M,Egypt,"Modeling, Fashion",1,,,,,,,0.0
1191,Álvaro Morte,@alvaromorte,11M,Spain,"Entertainment and Music, Actors",1,,,,,,,0.0
1192,••Narin’s Beauty••,@narins_beauty,11M,Sweden,"Beauty and Self Care, Music",1,,,,,,,0.0
1193,Александр Ревва,@arthurpirozhkov,11M,Russia,"Acting and Drama, Entertainment and Music, Celebrity, Music",1,,,,,,,0.0
1194,∴ W ∴,@willowsmith,11M,,"Photography, Travel, Fashion, Monarch",1,,,,,,,0.0
1195,Yef,@yefersoncossio,11M,Colombia,Entertainment and Music,1,,,,,,,0.0
1196,Nour Arida,@nouraridaofficial,11M,Lebanon,"Education, Upskilling, Romance and Wedding, Fashion and Accessories",1,,,,,,,0.0
1197,Fabolous,@myfabolouslife,11M,,"Entertainment and Music, Video Gaming, Music, Entertainment",1,,,,,,,0.0
1198,Victor Augusto,@loud_victor,11M,Brazil,"Actors, Soccer",1,,,,,,,0.0
1199,Steve Harvey,@iamsteveharveytv,11M,United States,"Entertainment and Music, Finance, Entertainment, Singer",1,,,,,,,0.0
1200,Hungria,@hungria_oficial,11M,Brazil,"Entertainment and Music, Music, Singer, Actors",1,,,,,,,0.0
1201,Preta Gil 🎤,@pretagil,11M,Brazil,"Entertainment and Music, Arts and Crafts, Music",1,,,,,,,0.0
1202,Antony Santos,@antony00,11M,Brazil,"Sports, Marketing and Advertising",1,,,,,,,0.0
1203,Tareq Al-Harbi,@6ar8o,10.9M,Indonesia,"Arts and Crafts, Illustrator, Celebrities",1,,,,,,,0.0
1204,Sarah Hyland,@sarahhyland,10.9M,United States,"Beauty and Self Care, Actors, Lifestyle",1,,,,,,,0.0
1205,,@playboicarti,10.9M,,"Art, Music, Entertainment, Singer",1,,,,,,,0.0
1206,Bruce Lee,@brucelee,10.9M,Hong Kong,"Entertainment and Music, Actors",1,,,,,,,0.0
1207,Lautaro Javier Martinez,@lautaromartinez,10.9M,Argentina,"Sports, Actors, Journalists",1,,,,,,,0.0
1208,Manu Rios,@manurios,10.9M,Spain,"Entertainment and Music, Music, Singer, Dance",1,,,,,,,0.0
1209,Yash,@thenameisyash,10.9M,,Acting and Drama,1,,,,,,,0.0
1210,Taylor Lautner,@taylorlautner,10.9M,United States,"Acting and Drama, Entertainment and Music, Actors, Lifestyle",1,,,,,,,0.0
1211,Lupita Nyong'o,@lupitanyongo,10.9M,Kenya,"Entertainment and Music, Actors, Producers, Actor",1,,,,,,,0.0
1212,Oracle Red Bull Racing,@redbullracing,10.9M,Austria,"Sports, Auto and Vehicles, Automotive, Racing",1,,,,,,,0.0
1213,Lucas Paquetá,@lucaspaqueta,10.9M,Brazil,"Romance and Wedding, Fashion and Accessories, American football, Health",1,,,,,,,0.0
1214,Gracyanne Barbosa 🅾️ -,@graoficial,10.9M,Brazil,"Product Showcase, Beauty and Self Care, Modeling",1,,,,,,,0.0
1215,CL,@chaelincl,10.9M,,"Fashion, Modeling, Photography",1,,,,,,,0.0
1216,정해인,@holyhaein,10.9M,,"Celebrity, Fashion Design, Modeling, Actor",1,,,,,,,0.0
1217,STHE ⚓️,@sthefanematos,10.9M,Brazil,"Entertainment and Music, Video Blogger",1,,,,,,,0.0
1218,Kendall Vertes,@kendallvertes,10.9M,United States,"Entertainment and Music, Celebrity, Actors, Music",1,,,,,,,0.0
1219,Taís Araujo,@taisdeverdade,10.9M,Brazil,"Acting and Drama, Actors",1,,,,,,,0.0
1220,Raheem Sterling x 😇,@sterling7,10.8M,United Kingdom,"Sports, Personal Finance, Soccer",1,,,,,,,0.0
1221,Ajay Devgn,@ajaydevgn,10.8M,India,Acting and Drama,1,,,,,,,0.0
1222,Fernanfloo,@fernanfloo,10.8M,,"Entertainment and Music, Games, Actors, Modeling",1,,,,,,,0.0
1223,Bebe Rexha,@beberexha,10.8M,United States,"Entertainment and Music, Singer, Lifestyle, Music",1,,,,,,,0.0
1224,박민영 Minyoung Park,@rachel_mypark,10.8M,,Actors,1,,,,,,,0.0
1225,Remy Ma,@remyma,10.8M,United States,"Entertainment and Music, Home and Garden, Entertainment, Singer",1,,,,,,,0.0
1226,Royal Challengers Bangalore,@royalchallengersbangalore,10.8M,India,"Sports, Cricket",1,,,,,,,0.0
1227,Janel Parrish Long,@janelparrish,10.8M,United States,Actors,1,,,,,,,0.0
1228,Big Hit Entertaiment,@bighit_ent,10.8M,,"Entertainment and Music, Music",1,,,,,,,0.0
1229,Sadhguru,@sadhguru,10.8M,,"Education, Nature, Parenting, Soul",1,,,,,,,0.0
1230,Sebas Villalobos,@sebas,10.8M,,"Entertainment and Music, Actors, Journalists",1,,,,,,,0.0
1231,Emirhan Özhan,@emirhanozhan,10.8M,,Celebrity,1,,,,,,,0.0
1232,Kimberley Anne Woltemas,@kimmy_kimberley,10.8M,,"Fashion and Accessories, Celebrity, Actor",1,,,,,,,0.0
1233,The Royal Family,@theroyalfamily,10.8M,United States,News,1,,,,,,,0.0
1234,ANDREY BATT,@andreybatt,10.8M,,"Art, Nature & Outdoors, Kids & Parenting, Humor",1,,,,,,,0.0
1235,EXO Official,@weareone.exo,10.8M,South Korea,"Entertainment and Music, Singer, Band",1,,,,,,,0.0
1236,KRYSTAL,@vousmevoyez,10.8M,,"Art, Actors, Singer",1,,,,,,,0.0
1237,Kandi Burruss,@kandi,10.8M,United States,"Entertainment and Music, Fashion and Accessories, Business and Finance, Modeling",1,,,,,,,0.0
1238,Kinda Alloush كندة علوش.,@kindaalloush,10.8M,Egypt,"Acting and Drama, Celebrity, Modeling, Actors",1,,,,,,,0.0
1239,Chennai Super Kings,@chennaiipl,10.8M,India,Sports,1,,,,,,,0.0
1240,Carles Puyol,@carles5puyol,10.8M,Spain,"Sports, Soccer",1,,,,,,,0.0
1241,JoseMarieViceral / Vice Ganda,@praybeytbenjamin,10.8M,Philippines,"Entertainment and Music, Celebrity, Singer, Modeling",1,,,,,,,0.0
1242,Salma Rachid,@salmarachid.official,10.8M,Morocco,"Entertainment and Music, Music",1,,,,,,,0.0
1243,𝐄𝐃𝐔𝐀𝐑𝐃𝐎 𝐂𝐎𝐒𝐓𝐀,@eduardocosta,10.8M,Portugal,"Entertainment and Music, Musicians",1,,,,,,,0.0
1244,Dean Schneider,@dean.schneider,10.8M,South Africa,"Animals, Music",1,,,,,,,0.0
1245,사나 𝚂𝚊𝚗𝚊,@m.by__sana,10.8M,Japan,,1,,,,,,,0.0
1246,Nikki Garcia,@nikkigarcia,10.8M,United States,"Entertainment and Music, family, Food and Drink, Entertainment",1,,,,,,,0.0
1247,Olamidé,@olamide,10.8M,,"Entertainment and Music, Film, Music & Books, Humor",1,,,,,,,0.0
1248,VICTORIA BONYA,@victoriabonya,10.8M,Russia,"Beauty and Self Care, Fashion and Accessories, Celebrities",1,,,,,,,0.0
1249,Mirjam Semenenko,@artmodel.one,10.8M,Ukraine,"Arts and Crafts, Artist",1,,,,,,,0.0
1250,Lea Elui G,@leaelui,10.7M,France,Entertainment and Music,1,,,,,,,0.0
1251,DAVID DOBRIK,@daviddobrik,10.7M,United States,"Food, Video Blogger",1,,,,,,,0.0
1252,Hamisa Mobetto,@hamisamobetto,10.7M,Tanzania,"Fashion and Accessories, Business and Finance, Celebrity, Music",1,,,,,,,0.0
1253,Max Verstappen,@maxverstappen1,10.7M,Netherlands,"Sports, Auto and Vehicles, Racing",1,,,,,,,0.0
1254,Sean Kelly | Digital Social Hour,@seanmikekelly,10.7M,United States,"Fashion and Accessories, Entertainment and Music, Product Showcase, Business and Finance",1,,,,,,,0.0
1255,Marcelo Tinelli,@marcelotinelli,10.7M,Argentina,"Entertainment and Music, Actors, Journalists",1,,,,,,,0.0
1256,Danilo Gentili,@danilogentili,10.7M,Brazil,"Entertainment and Music, Funny, Life and Society, Humor",1,,,,,,,0.0
1257,Preity G Zinta,@realpz,10.7M,India,"Acting and Drama, Celebrity, Actors, Modeling",1,,,,,,,0.0
1258,,@lanacondor,10.7M,,"Acting and Drama, Romance and Wedding, Celebrity, Actors",1,,,,,,,0.0
1259,Jacob Sartorius,@jacobsartorius,10.7M,United States,"Music, Singer",1,,,,,,,0.0
1260,ANGGA ALDI YUNANDA,@anggayunandareal16,10.7M,Indonesia,"Celebrity, Modeling",1,,,,,,,0.0
1261,Just baby,@just.baby,10.7M,,"family, Parenting, Children, Celebrities",1,,,,,,,0.0
1262,💕Beauty Khan💕,@cuty_beauty_khan,10.7M,,Beauty and Self Care,1,,,,,,,0.0
1263,Cauã Reymond,@cauareymond,10.7M,Brazil,"Sports, Nature, Fitness and Health, Actors",1,,,,,,,0.0
1264,Metallica,@metallica,10.7M,United States,"Entertainment and Music, Music, Rock, Band",1,,,,,,,0.0
1265,Hakim Ziyech,@hziyech,10.6M,Netherlands,"Sports, Soccer, Modeling",1,,,,,,,0.0
1266,Hustleman 💎,@hustlemantherapper,10.6M,,"Finance, Entertainment and Music, Entertainment, Music",1,,,,,,,0.0
1267,Millionaire Mentor,@millionaire_mentor,10.6M,,"Finance, Business and Finance, Events, Entrepreneur",1,,,,,,,0.0
1268,jade amelia thirlwall,@jadethirlwall,10.6M,United Kingdom,"Entertainment and Music, Singer, Dance",1,,,,,,,0.0
1269,Natalia Beauty,@nataliabeauty,10.6M,Brazil,Beauty and Self Care,1,,,,,,,0.0
1270,Sheila salas,@luna5star,10.6M,Cuba,"Fashion and Accessories, Beauty and Self Care, Fitness and Health, Modeling",1,,,,,,,0.0
1271,MC Don juan,@mcdonjuan,10.6M,Brazil,Singer,1,,,,,,,0.0
1272,Hariany Nathália Almeida,@hariany,10.6M,Brazil,"Beauty and Self Care, Business and Finance",1,,,,,,,0.0
1273,RVCJ Media,@rvcjinsta,10.6M,India,"Entertainment and Music, Product Showcase",1,,,,,,,0.0
1274,Chase Hudson,@huddy,10.6M,United States,,1,,,,,,,0.0
1275,Christian Figueiredo,@christian_fig,10.6M,Brazil,"Actors, Lifestyle",1,,,,,,,0.0
1276,Loisa Andalio,@iamandalioloisa,10.6M,,"Beauty and Self Care, Celebrity, Actors",1,,,,,,,0.0
1277,Patricia Abravanel,@patriciaabravanel,10.6M,Brazil,TV Host,1,,,,,,,0.0
1278,MC STΔN 💔,@m___c___stan,10.6M,India,"Entertainment and Music, Fashion and Accessories",1,,,,,,,0.0
1279,Alba Flores,@albafloresoficial,10.6M,Spain,"Entertainment and Music, Actors",1,,,,,,,0.0
1280,Ghada Abdelrazek,@ghadaabdelrazek,10.6M,Egypt,"Celebrity, Actors, Modeling, Music",1,,,,,,,0.0
1281,Aditi Rao Hydari,@aditiraohydari,10.5M,India,Entertainment and Music,1,,,,,,,0.0
1282,Ed Westwick,@edwestwick,10.5M,United Kingdom,"Entertainment and Music, Actors, Music, Lifestyle",1,,,,,,,0.0
1283,위하준 Wi Ha Jun,@wi__wi__wi,10.5M,South Korea,"Fashion, Gym, Modeling",1,,,,,,,0.0
1284,Карина Лазарьянц,@karinakross,10.5M,Russia,"Entertainment and Music, Music, TV Host, Fashion Design",1,,,,,,,0.0
1285,NewJeans,@newjeans_official,10.5M,,,1,,,,,,,0.0
1286,Raashii Khanna,@raashiikhanna,10.5M,,"Actors, Fashion, Modeling",1,,,,,,,0.0
1287,Prabhas,@actorprabhas,10.5M,,,1,,,,,,,0.0
1288,Caitlyn Jenner,@caitlynjenner,10.5M,United States,"Entertainment and Music, TV Host",1,,,,,,,0.0
1289,MAJA,@maja,10.5M,,"Art, Lifestyle",1,,,,,,,0.0
1290,Rajaa Belmir,@rajaabelmir,10.5M,Morocco,"Entertainment and Music, Music, Humor, Celebrities",1,,,,,,,0.0
1291,Arda Turan,@ardaturan,10.5M,Turkey,"Sports, Soccer",1,,,,,,,0.0
1292,jasprit bumrah,@jaspritb1,10.5M,India,"Sports, Entertainment and Music, Modeling",1,,,,,,,0.0
1293,Gemma Styles,@gemmastyles,10.5M,,"Fashion and Accessories, Beauty and Self Care, Arts and Crafts, Entertainment and Music",1,,,,,,,0.0
1294,Hania Aamir 哈尼亚·阿米尔,@haniaheheofficial,10.4M,Pakistan,"Art, Entertainment and Music, Modeling",1,,,,,,,0.0
1295,G-Eazy,@g_eazy,10.4M,United States,"Entertainment and Music, Music, Singer, Producers",1,,,,,,,0.0
1296,Maya Hawke,@maya_hawke,10.4M,United States,"Actors, Fashion, Modeling",1,,,,,,,0.0
1297,sujin kim,@chinguamiga,10.4M,Colombia,"Animation and Cosplay, Marketing and Advertising",1,,,,,,,0.0
1298,Candice King,@candiceking,10.4M,United States,"Art, Modeling, Actors",1,,,,,,,0.0
1299,Naisa Alifia Yuriza,@naisaalifiayuriza,10.4M,Indonesia,Entertainment and Music,1,,,,,,,0.0
1300,Назерке Альмухаметова,@asmr_blogger,10.4M,Kazakhstan,Music,1,,,,,,,0.0
1301,I AM JOJO BABiE ✨,@jojo_babie,10.4M,,"Beauty and Self Care, Fashion and Accessories, Modeling",1,,,,,,,0.0
1302,BILLION ZEUZ,@teknomiles,10.4M,,"Music, Singer, Entertainment",1,,,,,,,0.0
1303,Aras Bulut İynemli,@iynemliarasbulut,10.4M,Turkey,"Art, Lifestyle, Actors",1,,,,,,,0.0
1304,Jessica Cediel,@jessicacedielnet,10.4M,Colombia,"Entertainment and Music, Marketing and Advertising, Actors, Celebrities",1,,,,,,,0.0
1305,Gustavo Rocha,@gustavorocha,10.4M,Brazil,"Education, Lifestyle, Celebrities, Film, Music & Books",1,,,,,,,0.0
1306,P!NK,@pink,10.4M,United States,"Entertainment and Music, Romance and Wedding, Singer, Songwriting",1,,,,,,,0.0
1307,Filmy Active ™️,@filmyactive,10.4M,India,"Entertainment and Music, Marketing and Advertising, Celebrity",1,,,,,,,0.0
1308,Ryan Garcia,@kingryan,10.4M,United States,"Fitness and Health, Boxing",1,,,,,,,0.0
1309,Supassara.,@supassra_sp,10.3M,,"Fashion and Accessories, Celebrity, Music, Actors",1,,,,,,,0.0
1310,IQRA AZIZ HUSSAIN🇵🇰,@iiqraaziz,10.3M,Pakistan,"Art, Music",1,,,,,,,0.0
1311,Jubin Nautiyal,@jubin_nautiyal,10.3M,,"Entertainment and Music, Singer, Music, Songwriting",1,,,,,,,0.0
1312,Isabella Santoni,@isabellasantoni,10.3M,Brazil,"Acting and Drama, Actors",1,,,,,,,0.0
1313,Tom Cruise,@tomcruise,10.3M,United States,"Entertainment and Music, Actors",1,,,,,,,0.0
1314,GalileaMontijo,@galileamontijo,10.3M,Mexico,"Fashion and Accessories, family, Actors, Journalists",1,,,,,,,0.0
1315,♔Winnie Harlow♔,@winnieharlow,10.3M,Canada,"Beauty and Self Care, Fashion and Accessories, Parenting, Modeling",1,,,,,,,0.0
1316,Queen Rania Al Abdullah,@queenrania,10.3M,Jordan,"family, Careers, Moms",1,,,,,,,0.0
1317,Yuliett Torres!,@yuliett.torres,10.3M,Mexico,,1,,,,,,,0.0
1318,𝕄𝔸𝕌ℝ𝕆 𝕀ℂ𝔸ℝ𝔻𝕀,@mauroicardi,10.3M,Argentina,"Sports, Soccer",1,,,,,,,0.0
1319,Mahira Khan,@mahirahkhan,10.3M,Pakistan,"Entertainment and Music, Fashion and Accessories",1,,,,,,,0.0
1320,MC GUIME 💎,@mcguime,10.3M,Namibia,Singer,99,,,,,,,
1321,LUNAY,@lunay,10.3M,Puerto Rico,,99,,,,,,,
1322,Sonam Bajwa,@sonambajwa,10.3M,,"Acting and Drama, Celebrity, Actors, Entertainment",99,,,,,,,
1323,Yassi Pressman,@yassipressman,10.3M,Philippines,"Entertainment and Music, Fashion and Accessories, Business and Finance, Celebrity",99,,,,,,,
1324,Can Yaman,@canyaman,10.3M,Italy,"Acting and Drama, Actors, Modeling",99,,,,,,,
1325,Ana Clara,@anaclaraac,10.3M,Brazil,"Acting and Drama, TV Shows",99,,,,,,,
1326,Voompla,@voompla,10.3M,,"Entertainment and Music, Celebrity, News, News & Politics",99,,,,,,,
1327,Fadil Jaidi,@fadiljaidi,10.3M,Indonesia,"Beauty and Self Care, Fashion and Accessories, Business and Finance",99,,,,,,,
1328,Mari Gonzalez,@marigonzalez,10.3M,,"Entertainment and Music, Product Showcase, Marketing and Advertising",99,,,,,,,
1329,Ansu Fati,@ansufati,10.3M,Spain,Sports,99,,,,,,,
1330,فرح الهادي,@farah_alhady,10.3M,United Arab Emirates,"Fashion and Accessories, Celebrity, Actors",99,,,,,,,
1331,Christopher McGinnis,@chrismcg,10.3M,,,99,,,,,,,
1332,Yeri MUA💗✨,@yerimua,10.2M,,"Beauty and Self Care, Fashion and Accessories",99,,,,,,,
1333,Seth,@sethrogen,10.2M,,Actors,1,,587.0,512.0,,,,
1334,Yo Yo Honey Singh,@yoyohoneysingh,10.2M,India,"Entertainment and Music, Singer",99,,,,,,,
1335,Alex Morgan,@alexmorgan13,10.2M,United States,"Sports, Parenting, Soccer",99,,,,,,,
